1.0.1,31-01-2024,213,DOC-389 Rimosso riferimento a PowerPoint,Gardin Giovanni,Todesco Mattia
1.0.0,22-01-2024,211,DOC-381: Redigere verbale di retrospettiva 21/01/24,Todesco Mattia,Zaccone Rosario
