1.1.0,20-01-2024,206,DOC-366 Rivedere definizioni del Glossario,Banzato Alessio,Gardin Giovanni
1.0.1,19-01-2024,204,Adeguamento preambolo,Gardin Giovanni,Carraro Riccardo
1.0.0,30-12-2023,129,DOC-293 Gestione varianti dei termini di Glossario,Gardin Giovanni,Carraro Riccardo
1.0.0,18-12-2023,113,DOC-282 Correggere path Glossario.json,Banzato Alessio,Gardin Giovanni
1.0.0,09-12-2023,72,DOC-39 Redigere Glossario,Mattia Todesco,Giovanni Gardin
